,Label,Number Of Video CA,Number Of Video DE,Number Of Video FR,Number Of Video GB,Number Of Video IN,Number Of Video US
0,00:00,481,127,253,550,115,585
1,00:20,457,132,171,257,113,423
2,00:40,346,86,138,281,150,449
3,01:00,631,178,192,415,139,511
4,01:20,396,118,141,295,179,445
5,01:40,423,104,99,335,237,353
6,02:00,560,163,163,525,286,415
7,02:20,395,87,94,285,297,360
8,02:40,375,99,100,381,348,241
9,03:00,492,125,109,340,375,334
10,03:20,382,120,90,273,452,296
11,03:40,420,127,120,301,515,286
12,04:00,574,254,209,1211,330,754
13,04:20,408,136,106,193,760,195
14,04:40,383,140,91,313,788,232
15,05:00,593,321,299,1786,667,1030
16,05:20,274,141,108,291,645,155
17,05:40,241,149,120,216,836,194
18,06:00,247,242,229,208,600,281
19,06:20,166,160,113,190,772,129
20,06:40,219,180,109,166,866,124
21,07:00,262,368,268,418,748,369
22,07:20,154,228,138,110,646,127
23,07:40,203,288,185,146,779,134
24,08:00,244,498,390,556,614,448
25,08:20,164,311,254,111,689,113
26,08:40,298,401,359,357,745,306
27,09:00,226,721,671,1181,676,361
28,09:20,128,321,314,109,535,124
29,09:40,164,364,421,148,705,131
30,10:00,346,918,910,445,565,374
31,10:20,151,436,395,94,718,105
32,10:40,149,426,396,165,775,86
33,11:00,536,1059,841,489,635,489
34,11:20,231,439,441,204,627,109
35,11:40,227,459,443,72,990,203
36,12:00,620,1107,640,764,673,810
37,12:20,315,547,380,190,889,278
38,12:40,399,552,400,281,1123,235
39,13:00,952,1403,770,1145,861,1502
40,13:20,359,685,431,337,766,340
41,13:40,358,539,449,323,963,333
42,14:00,1189,1670,940,1763,999,1850
43,14:20,413,844,613,259,866,363
44,14:40,461,618,623,334,1022,457
45,15:00,1567,1859,1693,2044,970,2191
46,15:20,510,665,627,427,545,576
47,15:40,524,716,799,476,671,683
48,16:00,2462,1870,3090,2379,695,2597
49,16:20,764,766,1162,526,828,452
50,16:40,710,874,1247,503,696,673
51,17:00,1961,2117,3035,2500,722,2340
52,17:20,773,831,1202,540,567,647
53,17:40,576,827,1033,330,359,581
54,18:00,1349,1488,1378,1239,364,1441
55,18:20,559,759,858,489,314,779
56,18:40,536,723,752,585,236,630
57,19:00,1390,1192,999,903,255,1247
58,19:20,576,699,841,610,176,419
59,19:40,581,591,796,481,137,468
60,20:00,1382,822,803,803,104,1210
61,20:20,605,545,697,534,99,584
62,20:40,658,596,713,405,137,434
63,21:00,1080,896,752,653,94,1114
64,21:20,668,936,648,554,112,574
65,21:40,535,539,529,354,95,328
66,22:00,1243,604,580,831,199,1117
67,22:20,567,330,437,367,182,469
68,22:40,500,274,347,425,162,374
69,23:00,855,489,451,537,246,795
70,23:20,516,234,289,301,147,408
71,23:40,422,207,240,307,161,379
